Unnamed: 0,alpha
5748,0.0
2743,0.0
16479,0.0
15556,0.0
3413,0.0
7084,0.0
14173,0.0
3956,0.0
11228,0.0
8325,0.0
6288,0.0
3988,0.0
15379,0.0
3116,1.0
11924,0.0
7361,0.0
16384,0.0
3677,0.0
17196,0.0
1692,1.0
16980,0.0
10267,0.0
6364,0.0
4906,1.0
4316,0.0
17014,1.0
1983,0.0
7061,0.0
7298,0.0
1754,0.0
4106,0.0
16360,0.0
15096,0.0
17073,1.0
9333,0.0
11233,0.0
819,0.0
3178,0.0
9828,0.0
15573,1.0
8192,0.0
13953,1.0
1101,0.0
2014,0.0
14976,0.0
17459,1.0
14384,0.0
14948,1.0
16557,0.0
11126,0.0
2281,0.0
13968,0.0
15445,0.0
5919,0.0
3412,0.0
11598,0.0
16592,0.0
14291,0.0
14319,1.0
9482,0.0
1360,-1.0
6665,0.0
6942,0.0
221,0.0
4627,0.0
4122,0.0
7709,0.0
9403,0.0
16961,0.0
6747,0.0
8378,0.0
6171,0.0
11319,0.0
10745,1.0
10922,0.0
5111,0.0
4790,0.0
2039,0.0
5245,0.0
10222,0.0
13325,0.0
7945,0.0
14813,0.0
11601,0.0
10445,0.0
7101,0.0
15345,0.0
13030,1.0
14230,0.0
1264,0.0
7081,1.0
9424,0.0
6440,0.0
8117,0.0
15416,0.0
2565,0.0
15273,0.0
3227,0.0
9588,0.0
7637,0.0
1640,0.0
9650,0.0
15162,0.0
2975,0.0
11155,0.0
2362,0.0
10553,0.0
13684,0.0
1695,0.0
6613,0.0
17,0.0
7317,0.0
4946,0.0
14860,1.0
8483,0.0
13221,0.0
941,0.0
999,0.0
13436,0.0
484,0.0
1884,0.0
6441,0.0
8770,0.0
5219,0.0
2854,0.0
9077,0.0
10059,0.0
7092,0.0
1751,0.0
2488,0.0
4943,0.0
11523,0.0
8827,0.0
5710,0.0
2491,0.0
6,0.0
2964,0.0
8032,0.0
15857,0.0
10825,0.0
2113,0.0
12832,0.0
6780,0.0
12788,0.0
11716,0.0
1258,0.0
16325,0.0
6429,0.0
12733,0.0
3334,-1.0
9239,0.0
16745,0.0
7078,0.0
13034,0.0
4130,0.0
1911,0.0
16975,0.0
10233,0.0
32,0.0
5421,0.0
5255,0.0
17247,0.0
1661,0.0
12382,0.0
3806,0.0
14877,0.0
4699,0.0
2006,0.0
9338,0.0
6828,0.0
3161,0.0
7998,0.0
17035,0.0
9445,0.0
3696,-1.0
7714,0.0
13848,0.0
7710,0.0
6682,0.0
14337,0.0
9533,0.0
5408,1.0
11505,0.0
7810,0.0
5619,0.0
11139,0.0
4780,0.0
5050,0.0
9632,0.0
13917,0.0
9772,0.0
5705,0.0
17536,0.0
2458,0.0
17514,0.0
10965,0.0
10475,0.0
2971,0.0
11098,0.0
14639,0.0
1577,0.0
15066,0.0
1090,0.0
9689,0.0
4987,0.0
1452,0.0
8620,0.0
9516,0.0
7971,0.0
9565,0.0
2187,0.0
1275,0.0
14824,0.0
8553,0.0
14184,0.0
16113,0.0
16482,-1.0
6331,0.0
1653,0.0
12847,0.0
12107,0.0
11864,0.0
10798,0.0
5375,0.0
14619,0.0
12266,1.0
2294,0.0
14556,0.0
6755,0.0
9641,0.0
2845,0.0
16125,0.0
12092,0.0
13577,0.0
1511,1.0
15383,0.0
15244,0.0
4082,0.0
17367,0.0
13427,0.0
5167,0.0
4241,0.0
16663,0.0
16789,0.0
10399,0.0
14189,0.0
16656,0.0
17489,0.0
10723,0.0
12510,0.0
10315,0.0
3999,0.0
5829,0.0
15878,1.0
8042,0.0
5501,0.0
9074,0.0
3416,1.0
12165,0.0
3884,0.0
9459,0.0
3933,0.0
1951,0.0
9256,0.0
14785,0.0
1037,0.0
7627,0.0
6858,0.0
16731,1.0
15521,0.0
7616,0.0
821,0.0
11355,0.0
9603,-1.0
3777,0.0
6426,0.0
6516,-1.0
5124,0.0
3839,0.0
1085,0.0
15115,0.0
2350,0.0
9988,0.0
6431,0.0
5591,0.0
9172,0.0
9799,0.0
7436,0.0
7064,0.0
13524,1.0
3196,1.0
9745,0.0
10073,0.0
5806,0.0
15168,0.0
2683,0.0
7373,0.0
14986,0.0
5901,0.0
2310,0.0
9734,0.0
16948,0.0
4636,0.0
10181,0.0
9133,0.0
12694,0.0
14676,-1.0
12989,0.0
16326,0.0
16602,0.0
13642,0.0
867,0.0
11729,0.0
8610,0.0
17003,0.0
3398,0.0
14458,0.0
6810,0.0
15869,0.0
16274,1.0
