Unnamed: 0,coef
5748,0
2743,1
16479,0
15556,0
3413,0
7084,0
14173,0
3956,0
11228,0
8325,0
6288,0
3988,0
15379,0
3116,1
11924,1
7361,0
16384,1
3677,0
17196,0
1692,1
16980,0
10267,0
6364,0
4906,1
4316,1
17014,1
1983,0
7061,0
7298,0
1754,1
4106,0
16360,0
15096,0
17073,1
9333,0
11233,0
819,0
3178,0
9828,0
15573,1
8192,0
13953,1
1101,0
2014,0
14976,-1
17459,1
14384,0
14948,1
16557,0
11126,0
2281,0
13968,1
15445,0
5919,0
3412,-1
11598,0
16592,-1
14291,0
14319,1
9482,0
1360,-1
6665,0
6942,0
221,-1
4627,1
4122,0
7709,0
9403,0
16961,0
6747,1
8378,0
6171,0
11319,0
10745,1
10922,1
5111,0
4790,0
2039,0
5245,0
10222,0
13325,0
7945,0
14813,0
11601,0
10445,0
7101,-1
15345,0
13030,1
14230,0
1264,1
7081,1
9424,0
6440,0
8117,0
15416,0
2565,0
15273,0
3227,0
9588,0
7637,0
1640,0
9650,-1
15162,0
2975,0
11155,0
2362,0
10553,0
13684,1
1695,0
6613,0
17,0
7317,0
4946,0
14860,1
8483,0
13221,1
941,0
999,0
13436,0
484,0
1884,0
6441,0
8770,0
5219,0
2854,0
9077,0
10059,0
7092,-1
1751,0
2488,0
4943,0
11523,1
8827,0
5710,0
2491,1
6,0
2964,0
8032,0
15857,0
10825,0
2113,0
12832,0
6780,0
12788,0
11716,0
1258,0
16325,0
6429,0
12733,0
3334,-1
9239,0
16745,0
7078,0
13034,0
4130,0
1911,-1
16975,0
10233,0
32,0
5421,-1
5255,0
17247,0
1661,0
12382,0
3806,0
14877,0
4699,0
2006,0
9338,0
6828,0
3161,0
7998,0
17035,0
9445,0
3696,-1
7714,0
13848,0
7710,0
6682,0
14337,0
9533,0
5408,1
11505,0
7810,0
5619,0
11139,0
4780,0
5050,0
9632,0
13917,0
9772,0
5705,0
17536,0
2458,0
17514,0
10965,0
10475,0
2971,0
11098,1
14639,0
1577,0
15066,-1
1090,0
9689,-1
4987,0
1452,0
8620,0
9516,-1
7971,-1
9565,0
2187,0
1275,0
14824,1
8553,0
14184,0
16113,0
16482,-1
6331,0
1653,0
12847,0
12107,0
11864,0
10798,0
5375,1
14619,0
12266,1
2294,0
14556,0
6755,1
9641,0
2845,0
16125,0
12092,0
13577,0
1511,1
15383,0
15244,0
4082,0
17367,0
13427,0
5167,0
4241,0
16663,0
16789,0
10399,0
14189,0
16656,0
17489,0
10723,0
12510,0
10315,0
3999,0
5829,0
15878,1
8042,-1
5501,0
9074,0
3416,1
12165,0
3884,0
9459,-1
3933,0
1951,0
9256,0
14785,0
1037,0
7627,0
6858,0
16731,1
15521,0
7616,0
821,0
11355,0
9603,-1
3777,0
6426,0
6516,-1
5124,0
3839,1
1085,0
15115,0
2350,0
9988,0
6431,0
5591,1
9172,1
9799,0
7436,-1
7064,0
13524,1
3196,1
9745,0
10073,0
5806,0
15168,0
2683,0
7373,0
14986,0
5901,0
2310,0
9734,0
16948,1
4636,0
10181,0
9133,-1
12694,0
14676,-1
12989,0
16326,0
16602,0
13642,0
867,0
11729,0
8610,0
17003,0
3398,0
14458,1
6810,0
15869,1
16274,1
7702,0
16291,0
8524,0
10344,0
11152,1
12141,1
7526,0
13923,1
1756,1
15188,0
15886,0
1186,0
1208,0
4551,0
12263,1
5097,1
8854,0
920,0
7300,0
13629,0
15694,1
7166,0
12045,0
14944,0
15634,0
8432,0
7861,1
16002,0
3030,0
6243,0
15893,0
9522,0
3603,1
1538,0
16733,0
13919,0
16095,0
16446,0
3936,0
15010,0
10072,0
8859,1
3018,0
13673,0
9379,0
10388,0
6184,0
2585,0
4486,0
6393,0
13573,1
6484,1
14185,0
13993,1
4625,1
12680,0
16674,0
16191,1
911,0
3650,-1
3764,0
5889,0
16678,0
3084,0
10321,-1
14429,0
17491,0
5932,0
16720,1
12241,0
12296,0
6829,0
8772,0
16574,0
15994,0
4975,0
7511,0
8350,0
5380,1
1766,1
7838,0
4669,0
9535,0
7589,0
4413,1
1245,0
9819,0
2243,0
454,0
3850,0
16940,0
13359,0
17557,0
9723,0
8396,0
17053,1
13270,0
16600,0
4835,0
4080,1
12315,0
9538,0
13430,0
3408,1
2064,0
8872,0
9627,0
1526,0
4421,0
937,0
5663,0
16034,1
14778,1
2967,0
2672,0
15322,0
3035,0
207,0
17178,1
1892,0
4427,0
1739,0
9061,0
917,1
1476,0
2800,0
16677,1
5755,0
4151,0
10020,0
4464,0
9894,-1
1942,0
17262,0
14165,0
5886,0
13376,1
10816,0
14892,1
7888,0
5080,0
14795,1
3372,0
12038,0
10341,0
10514,1
4720,1
3735,0
8537,0
599,0
7267,0
219,0
1072,1
1827,0
1726,0
8335,0
15022,0
543,0
1965,0
11133,0
6413,0
5291,0
3097,0
4939,1
7420,0
17435,0
15220,0
2382,1
16500,0
571,-1
8889,1
4756,0
15024,1
13634,1
8261,1
13803,0
16200,0
13697,0
9949,0
4961,0
5746,0
11966,0
3464,1
12319,1
13645,0
5940,0
11570,1
15242,1
339,1
9613,0
16207,0
9088,0
6518,0
12948,0
13825,1
7958,0
13105,1
2078,0
8958,0
8194,0
15785,0
17405,0
760,0
14998,0
16000,0
10584,0
542,1
14504,0
11666,1
2437,0
10147,0
7294,0
13891,0
13171,0
3810,0
5925,0
1092,0
929,-1
5280,0
7182,1
15315,0
7824,0
3726,0
6147,0
6210,0
7845,0
3377,1
5055,1
17088,1
10728,0
15128,1
19,1
9847,0
7984,0
2938,0
16620,0
12813,0
5985,0
17539,0
11952,0
5880,0
8529,0
11363,0
14438,0
11074,-1
4978,0
3423,0
5092,1
13265,1
17411,0
14139,0
17413,0
4235,0
480,0
1368,0
5840,1
14376,0
11445,0
10535,0
1689,0
16437,1
14685,0
9968,0
11161,-1
6349,1
16742,0
3456,1
8708,0
11083,0
7129,1
11486,0
11436,1
7740,1
13640,0
13745,0
7476,0
2703,1
4029,0
3452,0
6445,0
11072,0
2327,0
12387,0
7612,0
2755,0
7843,-1
13806,0
9180,0
13451,1
2188,0
3622,1
10322,0
8740,-1
6950,0
6341,0
3904,0
12639,0
12076,0
15251,0
879,1
2645,0
4827,0
8063,-1
6528,1
909,0
11005,0
8185,0
9912,-1
9453,0
7382,0
630,-1
8237,0
3182,0
17298,1
5253,-1
10871,0
6261,0
6358,0
10060,0
2504,1
11708,0
12460,0
5278,0
6072,0
6822,0
5830,0
12599,0
2318,0
9731,-1
16878,0
594,0
6503,0
15160,0
5258,0
5638,1
10645,0
1410,1
8647,-1
13457,1
13440,0
15591,0
9975,0
12608,1
14058,-1
9305,0
3235,0
11464,0
10507,1
8882,1
9573,0
7217,1
14751,0
1655,1
14408,0
15343,0
7840,0
7515,0
2169,0
2120,0
2459,-1
9617,0
15501,0
5317,0
11996,0
9852,0
14893,0
13497,0
5137,0
14557,1
14502,0
9611,1
3657,0
4352,0
10105,0
809,0
14045,1
12333,0
1586,1
8104,0
13028,0
16499,1
5310,0
3074,0
16282,-1
2257,0
15478,0
15676,0
2394,0
14073,0
9845,1
14970,1
12995,0
16971,1
17257,1
8223,1
15073,1
3645,0
12151,1
13166,0
133,0
981,0
7682,0
16946,0
8731,0
17501,0
12222,0
128,0
9137,0
8344,1
893,0
2626,1
13163,0
16195,0
4940,0
6710,0
465,0
14857,0
7581,0
9969,0
12158,0
7535,0
15997,0
12604,0
