,alpha
917,0.0
1476,1.0
2800,0.0
16677,1.0
5755,0.0
4151,-1.0
10020,-1.0
4464,-1.0
9894,0.0
1942,1.0
17262,1.0
14165,-1.0
5886,0.0
13376,0.0
10816,1.0
14892,-0.5
7888,0.0
5080,1.0
14795,-1.0
3372,1.0
12038,0.0
10341,-1.0
10514,-1.0
4720,1.0
3735,0.0
8537,-1.0
599,-1.0
7267,-1.0
219,-1.0
1072,1.0
1827,1.0
1726,0.0
8335,0.0
15022,0.0
543,-1.0
1965,1.0
11133,1.0
6413,1.0
5291,0.0
3097,1.0
4939,1.0
7420,1.0
17435,-1.0
15220,1.0
2382,0.0
16500,-1.0
571,0.0
8889,1.0
4756,0.0
15024,0.0
13634,1.0
8261,0.0
13803,0.0
16200,0.0
13697,1.0
9949,0.0
4961,0.0
5746,1.0
11966,1.0
3464,-1.0
12319,0.0
13645,1.0
5940,1.0
11570,1.0
15242,-1.0
339,0.0
9613,1.0
16207,-1.0
9088,0.0
6518,0.0
12948,0.0
13825,0.0
7958,1.0
13105,-1.0
2078,0.0
8958,-1.0
8194,0.0
15785,-1.0
17405,0.0
760,-1.0
14998,0.0
16000,0.0
10584,0.0
542,0.0
14504,-1.0
11666,0.0
2437,0.0
10147,-1.0
7294,0.0
13891,1.0
13171,1.0
3810,0.5
5925,0.0
1092,-1.0
929,1.0
5280,0.0
7182,1.0
15315,0.0
7824,0.0
3726,0.0
6147,-1.0
6210,-1.0
7845,1.0
3377,0.0
5055,0.0
17088,0.0
10728,0.0
15128,-1.0
19,-1.0
9847,1.0
7984,1.0
2938,0.0
16620,-1.0
12813,-1.0
5985,0.0
17539,0.0
11952,0.0
5880,0.0
8529,-1.0
11363,-1.0
14438,-1.0
11074,-1.0
4978,0.0
3423,0.0
5092,-1.0
13265,-1.0
17411,-1.0
14139,1.0
17413,1.0
4235,0.0
480,1.0
1368,1.0
5840,0.0
14376,-1.0
11445,1.0
10535,1.0
1689,0.0
16437,1.0
14685,1.0
9968,1.0
11161,1.0
6349,0.0
16742,1.0
3456,1.0
8708,1.0
11083,0.0
7129,0.0
11486,-1.0
11436,0.0
7740,1.0
13640,-1.0
13745,1.0
7476,0.0
2703,1.0
4029,1.0
3452,1.0
6445,1.0
11072,1.0
2327,-1.0
12387,0.0
7612,1.0
2755,0.0
