,alpha
9137,0
8344,-1
893,0
2626,-1
13163,0
16195,1
4940,0
6710,0
465,0
14857,1
7581,0
9969,1
12158,1
7535,-1
15997,0
12604,0
8135,0
11302,1
14380,1
10605,0
15919,-1
15817,1
3548,1
13685,1
13213,0
16544,1
2387,0
9449,-1
4745,-1
14059,1
1416,1
5643,0
4510,1
15516,0
7401,0
8463,-1
2321,1
6356,1
6903,1
4873,-1
14318,0
11914,0
9872,1
10491,0
13612,1
16931,1
16748,-1
12712,1
11885,-1
13550,0
15647,1
12571,1
12540,1
5136,0
14480,0
13155,1
7193,1
13858,0
15450,0
1895,-1
3262,-1
14170,1
5514,-1
312,-1
15243,0
15005,0
4770,0
17043,1
8569,-1
11222,1
304,0
406,1
10334,0
5251,0
8219,1
4483,-1
5125,0
858,-1
5195,0
14454,0
12379,1
12578,-1
16204,-1
3445,1
13021,-1
245,-1
15655,1
13853,0
11266,-1
15948,0
16025,0
6465,0
4461,0
7799,1
17442,-1
13032,0
11234,1
7801,0
6656,0
11461,0
4131,1
14191,0
16065,1
1047,-1
617,0
8264,1
15770,1
6424,1
10658,1
8030,1
11537,0
176,1
17027,1
15078,0
5414,0
4803,1
16835,1
4702,0
10877,1
13851,0
1489,0
4119,0
8825,0
16703,0
6039,-1
10985,0
645,1
9304,-1
3242,0
3476,0
8498,-1
13503,0
6845,0
4072,0
7832,0
5294,0
908,1
353,1
8438,0
8910,0
6589,0
8332,0
2913,0
17039,1
3957,-1
10104,1
4473,0
422,0
10828,-1
3829,1
6746,1
10422,-1
848,1
12709,0
12309,0
3997,1
4562,1
6667,1
12950,0
8440,-1
4601,1
9549,1
3008,0
6996,1
1490,-1
2498,0
17396,1
9684,1
8036,0
5084,0
15509,1
8886,0
17055,-1
1682,1
12004,0
14701,-1
12952,-1
7575,1
11533,1
9170,0
14060,1
6281,0
8181,0
12006,1
651,0
12945,0
14290,1
1171,0
9891,0
12623,0
4950,-1
8464,1
4900,1
985,0
3621,-1
7706,0
14372,0
2721,1
14256,1
17423,0
737,1
2912,-1
16932,1
2398,1
13341,1
4951,1
5044,0
8311,-1
17261,0
10972,-1
13551,1
5376,-1
3215,1
4376,1
15230,1
16572,-1
6234,0
5568,0
2671,0
8111,-1
13380,-1
11387,0
3201,0
5301,0
7138,0
4664,0
12558,1
8848,0
13501,1
13658,0
10287,1
10386,1
5779,1
11928,0
7441,0
16611,1
16746,1
7588,0
2945,0
4919,0
12961,-1
520,-1
4649,-1
16039,0
6557,-1
9761,1
550,-1
9636,1
1871,-1
2051,1
16331,0
12219,1
10794,0
16169,1
11209,0
4690,1
15031,1
10643,1
14706,0
14738,1
9576,0
17462,1
4519,0
3689,1
14704,1
10588,0
5616,-1
3274,1
13400,0
7816,1
12203,0
1880,1
3965,-1
10939,0
11082,-1
1782,0
8862,0
15059,1
13174,1
9672,0
14819,0
10390,0
2692,1
4658,1
4684,-1
16022,1
17127,1
4350,1
10159,1
13833,-1
9659,-1
13466,1
95,1
7509,0
5295,0
8398,-1
10799,1
897,1
14039,0
14468,1
7480,0
8919,1
6811,0
4245,1
12600,1
6567,1
142,-1
7961,0
7218,1
1717,0
15812,1
16127,1
526,1
640,0
399,-1
14029,-1
8436,1
17264,1
5615,0
8202,-1
1030,1
3378,0
12436,1
7147,0
6624,0
17562,1
16453,-1
4277,0
7083,-1
8200,0
4266,0
984,0
4410,-1
14950,-1
15296,-1
13365,0
12504,0
11552,-1
12947,0
16808,0
13969,-1
10373,1
10423,0
11811,1
13377,1
13416,1
14082,0
11681,1
6585,0
11669,-1
14664,0
2190,0
4275,1
