,alpha
12989,-1
16326,-1
16602,-1
13642,0
867,1
11729,1
8610,0
17003,-1
3398,0
14458,0
6810,1
15869,0
16274,0
7702,0
16291,0
8524,0
10344,-1
11152,-1
12141,-1
7526,-1
13923,0
1756,-1
15188,0
15886,1
1186,-1
1208,-1
4551,-1
12263,1
5097,1
8854,-1
920,1
7300,-1
13629,-1
15694,0
7166,0
12045,0
14944,-1
15634,0
8432,-1
7861,0
16002,0
3030,1
6243,0
15893,-1
9522,0
3603,-1
1538,0
16733,0
13919,-1
16095,1
16446,-1
3936,-1
15010,0
10072,-1
8859,0
3018,-1
13673,-1
9379,0
10388,0
6184,-1
2585,0
4486,0
6393,0
13573,1
6484,0
14185,-1
13993,-1
4625,0
12680,-1
16674,-1
16191,0
911,-1
3650,0
3764,0
5889,-1
16678,0
3084,-1
10321,0
14429,-1
17491,0
5932,0
16720,0
12241,0
12296,0
6829,1
8772,-1
16574,1
15994,-1
4975,-1
7511,1
8350,0
5380,0
1766,1
7838,0
4669,-1
9535,0
7589,-1
4413,0
1245,-1
9819,-1
2243,-1
454,-1
3850,-1
16940,-1
13359,1
17557,0
9723,-1
8396,0
17053,0
13270,0
16600,-1
4835,-1
4080,0
12315,0
9538,1
13430,0
3408,-1
2064,1
8872,-1
9627,-1
1526,-1
4421,-1
937,0
5663,0
16034,0
14778,1
2967,-1
2672,-1
15322,-1
3035,-1
207,-1
17178,-1
1892,1
4427,0
1739,1
9061,-1
917,0
1476,-1
2800,0
16677,1
5755,1
4151,1
10020,1
4464,1
9894,1
1942,-1
17262,0
14165,1
5886,0
13376,1
10816,-1
14892,1
7888,-1
5080,1
14795,-1
3372,-1
12038,-1
10341,1
10514,0
4720,1
3735,0
8537,-1
599,1
7267,-1
219,-1
1072,-1
1827,0
1726,-1
8335,0
15022,0
543,-1
1965,1
11133,-1
6413,0
5291,0
3097,-1
4939,-1
7420,0
17435,-1
15220,-1
2382,0
16500,-1
571,0
8889,-1
4756,0
15024,-1
13634,0
8261,-1
13803,0
16200,0
13697,-1
9949,0
4961,0
5746,1
11966,0
3464,-1
12319,0
13645,1
5940,0
11570,-1
15242,-1
339,1
9613,0
16207,-1
9088,-1
6518,0
12948,0
13825,-1
7958,-1
13105,-1
2078,0
8958,-1
8194,0
15785,-1
17405,0
760,-1
14998,0
16000,0
10584,0
542,-1
14504,-1
11666,0
2437,0
10147,1
7294,0
13891,1
13171,-1
3810,1
5925,0
1092,-1
929,0
5280,0
7182,-1
15315,0
7824,1
3726,0
6147,0
6210,-1
7845,-1
3377,0
5055,0
17088,0
10728,0
15128,1
19,-1
9847,-1
7984,-1
2938,0
16620,-1
12813,-1
5985,0
17539,1
11952,1
5880,0
8529,-1
11363,1
14438,-1
11074,-1
4978,-1
3423,0
5092,1
13265,-1
17411,1
14139,0
17413,0
4235,-1
480,-1
1368,1
5840,0
14376,0
11445,1
10535,1
1689,0
16437,0
14685,-1
9968,0
11161,-1
6349,-1
16742,-1
3456,0
8708,0
11083,0
7129,-1
11486,-1
11436,0
7740,0
13640,-1
13745,1
7476,0
2703,1
4029,-1
3452,1
6445,-1
11072,1
2327,-1
12387,0
7612,0
2755,0
7843,1
13806,0
9180,1
13451,1
2188,0
3622,-1
10322,1
8740,-1
6950,-1
6341,-1
3904,0
12639,0
12076,0
15251,-1
879,0
2645,0
4827,-1
8063,-1
6528,0
909,0
11005,0
8185,0
9912,0
