,alpha
13806,1
9180,0
13451,1
2188,0
3622,-1
10322,1
8740,-1
6950,1
6341,-1
3904,0
12639,0
12076,0
15251,-1
879,0
2645,-1
4827,1
8063,-1
6528,1
909,0
11005,0
8185,-1
9912,0
9453,1
7382,-1
630,0
8237,1
3182,0
17298,0
5253,1
10871,0
6261,-1
6358,1
10060,0
2504,-1
11708,-1
12460,1
5278,1
6072,1
6822,0
5830,0
12599,0
2318,-1
9731,0
16878,1
594,1
6503,-1
15160,-1
5258,-1
5638,0
10645,0
1410,-1
8647,-1
13457,-1
13440,1
15591,-1
9975,0
12608,-1
14058,-1
9305,0
3235,-1
11464,-1
10507,1
8882,1
9573,0
7217,-1
14751,-1
1655,1
14408,0
15343,-1
7840,-1
7515,-1
2169,-1
2120,-1
2459,0
9617,0
15501,1
5317,0
11996,1
9852,0
14893,-1
13497,0
5137,0
14557,0
14502,1
9611,0
3657,1
4352,0
10105,0
809,1
14045,1
12333,1
1586,1
8104,0
13028,-1
16499,0
5310,-1
3074,-1
16282,0
2257,0
15478,0
15676,-1
2394,1
14073,0
9845,-1
14970,0
12995,-1
16971,0
17257,-1
8223,-1
15073,1
3645,1
12151,1
13166,-1
133,1
981,-1
7682,1
16946,0
8731,-1
17501,-1
12222,-1
128,-1
9137,0
8344,0
893,1
2626,-1
13163,1
16195,1
4940,1
6710,-1
465,-1
14857,-1
7581,1
9969,-1
12158,0
7535,0
15997,1
12604,0
8135,-1
11302,-1
14380,-1
10605,1
15919,-1
15817,1
3548,-1
13685,1
13213,1
16544,1
2387,-1
9449,1
4745,1
14059,-1
1416,1
5643,0
4510,1
15516,1
7401,0
8463,-1
2321,0
6356,0
6903,-1
4873,1
14318,-1
11914,0
9872,-1
10491,-1
13612,0
16931,-1
16748,-1
12712,-1
11885,1
13550,0
15647,1
12571,1
12540,-1
5136,0
14480,-1
13155,-1
7193,-1
13858,0
15450,0
1895,1
3262,0
14170,1
5514,0
312,-1
15243,1
15005,1
4770,1
17043,1
8569,1
11222,0
304,0
406,0
10334,-1
5251,1
8219,-1
4483,-1
5125,0
858,1
5195,0
14454,-1
12379,-1
12578,1
16204,-1
3445,-1
13021,1
245,-1
15655,1
13853,0
11266,-1
15948,0
16025,1
6465,0
4461,0
7799,0
17442,1
13032,0
11234,1
7801,1
6656,-1
11461,1
4131,-1
14191,1
16065,-1
1047,-1
617,0
8264,0
15770,1
6424,-1
10658,-1
8030,-1
11537,0
176,1
17027,-1
15078,1
5414,0
4803,-1
16835,-1
4702,1
10877,1
13851,0
1489,-1
4119,1
8825,0
16703,-1
6039,-1
10985,-1
645,-1
9304,0
3242,0
3476,-1
8498,1
13503,-1
6845,-1
4072,0
7832,1
5294,0
908,0
353,1
8438,0
8910,1
6589,-1
8332,0
2913,0
17039,-1
3957,1
10104,1
4473,0
422,0
10828,1
3829,-1
6746,-1
10422,-1
848,-1
12709,0
12309,0
3997,1
4562,-1
6667,1
12950,-1
8440,-1
4601,-1
9549,-1
3008,0
6996,1
1490,1
2498,1
17396,0
9684,1
8036,1
5084,0
15509,0
