Date,SPY,ret_mar
2017-11-01,257.489990234375,0.0
2017-11-02,257.5899963378906,0.0003883883153073115
2017-11-03,258.45001220703125,0.0033387005759824206
2017-11-06,258.8500061035156,0.0015476644518939318
2017-11-07,258.6700134277344,-0.0006953551150749052
2017-11-08,259.1099853515625,0.001700900378818133
2017-11-09,258.1700134277344,-0.003627694712547506
2017-11-10,258.0899963378906,-0.0003099395192391233
2017-11-13,258.3299865722656,0.000929870346701875
2017-11-14,257.7300109863281,-0.0023225162277847365
2017-11-15,256.44000244140625,-0.005005270980996879
2017-11-16,258.6199951171875,0.008500985240317
2017-11-17,257.8599853515625,-0.0029387123191330186
2017-11-20,258.29998779296875,0.0017063618490723064
2017-11-21,259.989990234375,0.006542789474542337
2017-11-22,259.760009765625,-0.0008845743197369941
2017-11-24,260.3599853515625,0.0023097303795100834
2017-11-27,260.2300109863281,-0.0004992102187241691
2017-11-28,262.8699951171875,0.010144810434635356
2017-11-29,262.7099914550781,-0.0006086798230358902
2017-11-30,265.010009765625,0.008754970824701827
2017-12-01,264.4599914550781,-0.002075462398696983
2017-12-04,264.1400146484375,-0.0012099251946583274
2017-12-05,263.19000244140625,-0.0035966235872883097
2017-12-06,263.239990234375,0.00018993044000551934
2017-12-07,264.07000732421875,0.0031530812970504466
2017-12-08,265.510009765625,0.005453108650988334
2017-12-11,266.30999755859375,0.0030130231009931688
2017-12-12,266.7799987792969,0.0017648651008669509
2017-12-13,266.75,-0.00011244763263415615
2017-12-14,265.6600036621094,-0.0040862093266752575
2017-12-15,266.510009765625,0.003199601339299612
2017-12-18,268.20001220703125,0.006341234398259475
2017-12-19,267.1700134277344,-0.003840412872545992
2017-12-20,267.0299987792969,-0.0005240657311842069
2017-12-21,267.5799865722656,0.0020596479627119375
2017-12-22,267.510009765625,-0.00026151734117725687
2017-12-26,267.19000244140625,-0.001196244299415636
2017-12-27,267.32000732421875,0.00048656342536996524
2017-12-28,267.8699951171875,0.0020574135040393664
2017-12-29,266.8599853515625,-0.003770522208667462
2018-01-02,268.7699890136719,0.007157325065401348
2018-01-03,270.4700012207031,0.006325156366117845
2018-01-04,271.6099853515625,0.004214826508353323
2018-01-05,273.4200134277344,0.006664070445823403
2018-01-08,273.9200134277344,0.0018286883748257561
2018-01-09,274.5400085449219,0.0022634166427969575
2018-01-10,274.1199951171875,-0.0015298805808321738
2018-01-11,276.1199951171875,0.0072960748417677124
2018-01-12,277.9200134277344,0.0065189712529979335
2018-01-16,276.9700012207031,-0.0034182936137424846
2018-01-17,279.6099853515625,0.009531660899101154
2018-01-18,279.1400146484375,-0.001680808010250746
2018-01-19,280.4100036621094,0.004549648731914558
2018-01-22,282.69000244140625,0.008130946647838732
2018-01-23,283.2900085449219,0.0021224878783606418
2018-01-24,283.17999267578125,-0.00038835068594796405
2018-01-25,283.29998779296875,0.0004237415081964669
2018-01-26,286.5799865722656,0.01157782887620118
2018-01-29,284.67999267578125,-0.0066298903814250194
2018-01-30,281.760009765625,-0.010257071045669811
2018-01-31,281.8999938964844,0.0004968204358589329
2018-02-01,281.5799865722656,-0.0011351803162374628
2018-02-02,275.45001220703125,-0.021769922073851502
2018-02-05,263.92999267578125,-0.041822541371286735
2018-02-06,269.1300048828125,0.019702240561265374
2018-02-07,267.6700134277344,-0.0054248557521999466
2018-02-08,257.6300048828125,-0.03750890290754395
2018-02-09,261.5,0.015021523284711479
2018-02-12,265.3399963378906,0.014684498424055926
2018-02-13,266.0,0.00248738852498102
2018-02-14,269.5899963378906,0.013496226834175283
2018-02-15,273.0299987792969,0.012760126444360802
2018-02-16,273.1099853515625,0.00029295891522265267
2018-02-20,271.3999938964844,-0.0062611824788351405
2018-02-21,270.04998779296875,-0.004974230412217826
2018-02-22,270.3999938964844,0.0012960789458874326
2018-02-23,274.7099914550781,0.01593934044334232
2018-02-26,277.8999938964844,0.011612254889272545
2018-02-27,274.42999267578125,-0.012486510604227195
2018-02-28,271.6499938964844,-0.010130083640607163
2018-03-01,267.70001220703125,-0.014540702294137783
2018-03-02,269.0799865722656,0.005154928286544656
2018-03-05,272.19000244140625,0.011557960548304776
2018-03-06,272.8800048828125,0.0025350028848131014
2018-03-07,272.7799987792969,-0.0003664838087296734
2018-03-08,274.1000061035156,0.004839091319472996
2018-03-09,278.8699951171875,0.017402367411369038
2018-03-12,278.5199890136719,-0.0012550869926631744
2018-03-13,276.7200012207031,-0.006462688007934658
2018-03-14,275.29998779296875,-0.005131589409765206
2018-03-15,275.0,-0.0010896760126060993
2018-03-16,274.20001220703125,-0.0029090465198863638
2018-03-19,270.489990234375,-0.013530349407333523
2018-03-20,270.95001220703125,0.001700698692242359
2018-03-21,270.42999267578125,-0.0019192452770685105
2018-03-22,263.6700134277344,-0.02499715057919415
2018-03-23,258.04998779296875,-0.021314618077743375
2018-03-26,265.1099853515625,0.027359030779175716
2018-03-27,260.6000061035156,-0.017011729083181038
2018-03-28,259.8299865722656,-0.0029547947552393096
2018-03-29,263.1499938964844,0.012777614193099947
2018-04-02,257.4700012207031,-0.02158462020719482
2018-04-03,260.7699890136719,0.012816979754235533
2018-04-04,263.55999755859375,0.010699116702327269
2018-04-05,265.6400146484375,0.007892006029410164
2018-04-06,259.7200012207031,-0.022285849650961826
2018-04-09,261.0,0.004928379690746906
2018-04-10,265.1499938964844,0.015900359756645114
2018-04-11,263.760009765625,-0.005242255941374943
2018-04-12,265.92999267578125,0.008227111123041279
2018-04-13,265.1499938964844,-0.002933098186663888
2018-04-16,267.3299865722656,0.008221733833538492
