,alpha
11442,-1
11443,-1
11444,-1
11445,1
11446,0
11447,0
11448,1
11449,-1
11450,1
11451,1
11452,-1
11453,1
11454,1
11455,-1
11456,1
11457,-1
11458,0
11459,1
11460,-1
11461,0
11462,0
11463,-1
11464,1
11465,-1
11466,1
11467,-1
11468,-1
11469,1
11470,-1
11471,-1
11472,-1
11473,-1
11474,1
11475,1
11476,-1
11477,-1
11478,-1
11479,0
11480,-1
11481,1
11482,1
11483,1
11484,-1
11485,-1
11486,0
11487,-1
11488,1
11489,-1
11490,1
11491,1
11492,1
11493,-1
11494,-1
11495,1
11496,-1
11497,1
11498,1
11499,0
11500,1
11501,-1
11502,1
11503,-1
11504,1
11505,0
11506,0
11507,-1
11508,-1
11509,1
11510,-1
11511,1
11512,0
11513,1
11514,0
11515,1
11516,1
11517,-1
11518,1
11519,0
11520,-1
11521,0
11522,-1
11523,-1
11524,1
11525,-1
11526,1
11527,-1
11528,-1
11529,-1
11530,-1
11531,1
11532,-1
11533,1
11534,-1
11535,-1
11536,-1
11537,0
11538,0
11539,0
11540,1
11541,1
11542,0
11543,-1
11544,1
11545,1
11546,1
11547,-1
11548,1
11549,-1
11550,1
11551,1
11552,0
11553,-1
11554,-1
11555,0
11556,0
11557,-1
11558,-1
11559,0
11560,-1
11561,0
11562,0
11563,0
11564,1
11565,1
11566,1
11567,0
11568,0
11569,1
11570,-1
11571,-1
11572,-1
11573,0
11574,1
11575,-1
11576,-1
11577,-1
11578,-1
11579,1
11580,1
11581,1
11582,1
11583,1
11584,1
11585,-1
11586,-1
11587,-1
11588,0
11589,-1
11590,1
11591,-1
11592,0
11593,0
11594,-1
11595,1
11596,-1
11597,0
11598,1
11599,0
11600,0
11601,0
11602,-1
11603,1
11604,1
11605,0
11606,0
11607,1
11608,1
11609,1
11610,1
11611,1
11612,0
11613,-1
11614,-1
11615,-1
11616,0
11617,-1
11618,-1
11619,1
11620,0
11621,0
11622,-1
11623,-1
11624,0
11625,1
11626,-1
11627,1
11628,-1
11629,1
11630,-1
11631,-1
11632,0
11633,-1
11634,1
11635,0
11636,-1
11637,-1
11638,1
11639,-1
11640,-1
11641,0
11642,1
11643,0
11644,0
11645,-1
11646,-1
11647,1
11648,-1
11649,1
11650,1
11651,1
11652,-1
11653,1
11654,1
11655,1
11656,1
11657,0
11658,-1
11659,-1
11660,-1
11661,1
11662,1
11663,-1
11664,-1
11665,-1
11666,-1
11667,-1
11668,0
11669,-1
11670,-1
11671,-1
11672,-1
11673,1
11674,1
11675,-1
11676,-1
11677,1
11678,-1
11679,1
11680,-1
11681,1
11682,1
11683,1
11684,-1
11685,1
11686,1
11687,0
11688,1
11689,0
11690,1
11691,1
11692,1
11693,-1
11694,1
11695,-1
11696,1
11697,0
11698,1
11699,-1
11700,0
11701,1
11702,-1
11703,-1
11704,1
11705,-1
11706,1
11707,0
11708,0
11709,1
11710,1
11711,0
11712,-1
11713,1
11714,-1
11715,-1
11716,1
11717,1
11718,-1
11719,-1
11720,0
11721,1
