,alpha
11210,0
11211,0
11212,-1
11213,1
11214,1
11215,0
11216,0
11217,0
11218,0
11219,0
11220,0
11221,0
11222,0
11223,0
11224,-1
11225,-1
11226,1
11227,0
11228,0
11229,0
11230,0
11231,0
11232,0
11233,1
11234,1
11235,0
11236,0
11237,0
11238,0
11239,1
11240,-1
11241,-1
11242,1
11243,0
11244,-1
11245,-1
11246,-1
11247,0
11248,0
11249,0
11250,0
11251,0
11252,0
11253,0
11254,0
11255,0
11256,0
11257,0
11258,0
11259,0
11260,0
11261,1
11262,-1
11263,0
11264,0
11265,0
11266,0
11267,1
11268,-1
11269,0
11270,-1
11271,0
11272,0
11273,0
11274,0
11275,-1
11276,-1
11277,0
11278,0
11279,0
11280,1
11281,1
11282,-1
11283,-1
11284,-1
11285,0
11286,1
11287,-1
11288,1
11289,0
11290,-1
11291,1
11292,0
11293,0
11294,1
11295,-1
11296,1
11297,-1
11298,0
11299,0
11300,1
11301,0
11302,0
11303,-1
11304,-1
11305,-1
11306,0
11307,0
11308,0
11309,0
11310,1
11311,1
11312,-1
11313,0
11314,0
11315,-1
11316,-1
11317,0
11318,1
11319,0
11320,0
11321,-1
11322,0
11323,0
11324,-1
11325,-1
11326,-1
11327,-1
11328,0
11329,0
11330,1
11331,1
11332,0
11333,1
11334,1
11335,0
11336,-1
11337,0
11338,0
11339,1
11340,0
11341,0
11342,0
11343,0
11344,0
11345,0
11346,0
11347,0
11348,-1
11349,1
11350,0
11351,0
11352,-1
11353,-1
11354,1
11355,-1
11356,0
11357,1
11358,0
11359,0
11360,0
11361,0
11362,0
11363,0
11364,1
11365,0
11366,0
11367,1
11368,0
11369,0
11370,1
11371,-1
11372,1
11373,1
11374,1
11375,1
11376,1
11377,-1
11378,0
11379,0
11380,-1
11381,1
11382,-1
11383,0
11384,1
11385,0
11386,1
11387,0
11388,-1
11389,0
11390,1
11391,-1
11392,1
11393,-1
11394,0
11395,1
11396,-1
11397,-1
11398,0
11399,1
11400,-1
11401,-1
11402,1
11403,0
11404,-1
11405,0
11406,0
11407,0
11408,-1
11409,0
11410,1
11411,0
11412,0
11413,0
11414,0
11415,0
11416,0
11417,0
11418,0
